,Brand,Model Name,Display Size,Operating System,Call Function,Bluetooth,Wi_Fi,GPS,Display_Type,Display_Resolution,Touchscreen,Water_Resistance,Battery_Life,Price
167,CHG T10 Ultra,T10 Ultra 2.09,45.0,Android & iOS,Yes,Yes,No,No,Other,320.0,Yes,,1.0,759
168,Limonz T800 BT,T800 BT Calling,49.0,Android & iOS,Yes,Yes,Yes,Yes,HD,240.0,Yes,40.0,2.0,656
169,vivo Y17s   ,Y17s,166.6,,No,No,Yes,No,IPS LCD,,Yes,,,11499
170,Noise Thrill with,"Thrill with 2""",50.8,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,1.5,15.0,2199
171,TECHMAZE D900 5G,D900 5G SUPPORT,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,749
172,MOTOROLA Edge 40,Edge 40 Neo,166.4,,No,No,Yes,No,TFT LED,,Yes,,,24999
174,fire turtle T800,T800 Ultra 8,49.0,Android & iOS,Yes,Yes,Yes,No,TFT LED,1080.0,Yes,10.0,24.0,989
177,FITRIC New Version,New Version Ultra,49.0,Android & iOS,Yes,Yes,No,No,IPS LCD,320.0,Yes,3.0,3.0,619
179,Noise Fuse Plus,"Fuse Plus 1.43""",36.322,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1999
180,beatXP Marv Sense,Marv Sense 1.96'',49.78,Android & iOS,Yes,Yes,No,No,Other,353.0,Yes,,7.0,999
182,Boult Drift+ Bluetooth,"Drift+ Bluetooth Calling,",46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.5,7.0,1099
183,gotten T800 hiwatch,T800 hiwatch pro,49.0,Android & iOS,Yes,Yes,No,No,IPS LCD,1024.0,Yes,10.0,0.75,644
184,Micromax X513+  ,X513+,45.0,,No,No,No,No,Other,,No,,,1078
185,"Melbon Active2 1.43""","Active2 1.43"" AMOLED",33.0,Android & iOS,Yes,Yes,Yes,Yes,AMOLED,,Yes,67.0,3.0,1899
187,Noise Icon 3,"Icon 3 1.91""",48.513999999999996,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,,7.0,1499
188,itel it5027 6.1cm,"it5027 6.1cm Screen,1200mAh",61.0,,No,No,No,No,Other,,No,,,1169
190,boAt Ultima Prism,Ultima Prism with,49.784,Android & iOS,Yes,Yes,No,No,Other,456.0,Yes,,7.0,2999
191,boAt Storm Pro,Storm Pro with,44.958,Android & iOS,No,Yes,No,No,Other,408.0,Yes,,7.0,1399
193,POCO C65   ,C65,171.20000000000002,,No,No,Yes,No,HD,,Yes,,,7499
196,VINJURI Ultra T800,Ultra T800 Series,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,1024.0,Yes,10.0,4.0,598
199,Ambrane Wise Eon,Wise Eon Max,51.054,Android & iOS,Yes,Yes,No,No,Other,261.0,Yes,,10.0,1499
202,Noise Pro 5,Pro 5 1.85,46.99,Android & iOS,Yes,Yes,No,No,AMOLED,420.0,Yes,1.5,7.0,4499
204,TECHMAZE D70 SIM,D70 SIM CALL,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,721
209,HLMT HLMT Latest,HLMT Latest Kids,34.0,Android,No,No,No,No,Other,,No,,6.0,269
210,sk ultra pro,pro 24k gold,49.0,Android & iOS,Yes,Yes,Yes,Yes,AMOLED,354.0,Yes,100.0,10.0,2599
213,"Fire-Boltt Blizzard 1.28""","Blizzard 1.28"" Luxury",32.512,Android & iOS,Yes,Yes,No,No,IPS TFt,240.0,Yes,1.0,7.0,3799
214,boAt Lunar Connect,Lunar Connect Ace,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,,7.0,2499
215,Boult CrownR Bluetooth,"CrownR Bluetooth Calling,",38.608,Android & iOS,Yes,Yes,No,No,IPS TFt,360.0,Yes,1.0,7.0,1999
220,Noise Icon Buzz,"Icon Buzz 1.69""",42.925999999999995,Android & iOS,Yes,Yes,No,No,IPS LCD,260.0,Yes,1.0,7.0,1299
221,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,54900
223,vivo T2 Pro,T2 Pro 5G,172.2,,No,No,Yes,No,AMOLED,,Yes,,,23999
225,HOTLINE CLASSIC  ,CLASSIC,45.0,,No,No,No,No,Other,,No,,,575
227,Pebble Cosmos Quest,"Cosmos Quest 1.43""AMOLED",36.32,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,1.0,7.0,2799
229,TECHMAZE First T800,First T800 Ultra,49.0,Android & iOS,Yes,Yes,No,Yes,AMOLED,320.0,Yes,,3.0,769
230,alt T800 Smartwatch  ,T800,49.0,Android & iOS,Yes,Yes,No,Yes,HD,,Yes,,5.0,699
232,Tarang Enterprises UltraT800,UltraT800 Series 8,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,684
233,Lifelong Vibez Muse,Vibez Muse with,48.54,Android & iOS,Yes,Yes,No,No,Other,268.0,Yes,,7.0,1499
236,Apple Watch Series,Watch Series 9,45.0,iOS,Yes,Yes,Yes,Yes,OLED Retina,440.0,Yes,50.0,0.75,44900
238,Noise Loop 1.85'',Loop 1.85'' Display,46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.5,7.0,1399
241,Seashot DZ9 Camera,DZ9 Camera Smart,44.0,Android,Yes,Yes,No,No,HD,,Yes,,3.0,756
243,BOOMFIRE T800 Ultra,T800 Ultra Full,,Android & iOS,Yes,Yes,No,No,AMOLED,320.0,Yes,,3.0,780
245,"beatXP Marv 1.85""","Marv 1.85"" HD",47.0,Android & iOS,Yes,Yes,No,No,IPS TFt,260.0,Yes,1.5,10.0,1199
250,YAROH NMM_496A_T800 ULTRA,NMM_496A_T800 ULTRA 8,1.33,Android & iOS,Yes,Yes,No,No,Other,312.0,Yes,,24.0,699
251,I Kall K-575,K-575,127.0,,No,No,Yes,No,Other,,Yes,,,4999
254,boAt Storm Call,Storm Call 2,46.4,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1529
256,CrossBeats Ignite Hustl,"Ignite Hustl 2.01""",51.0,Android & iOS,Yes,Yes,No,No,HD,261.0,Yes,10.0,168.0,1999
257,Time Up Ultra,Ultra Design Digital,35.0,Proprietary OS,No,No,No,No,TFT LED,270.0,No,30.0,1.0,349
259,"Boult Mirage 1.39""","Mirage 1.39"" Screen,",35.31,Android & iOS,Yes,Yes,No,No,IPS TFt,360.0,Yes,1.0,7.0,1799
260,boAt Lunar Connect,Lunar Connect Ace,36.321999999999996,Android & iOS,Yes,Yes,No,No,AMOLED,466.0,Yes,,7.0,2499
261,"Melbon 1.75"" Display","1.75"" Display with",44.0,Android & iOS,Yes,Yes,Yes,Yes,AMOLED,,Yes,100.0,3.0,799
263,DIZO Watch D,Watch D 1.8,45.72,Android & iOS,No,Yes,No,No,IPS TFt,263.0,Yes,50.0,14.0,1999
264,vivo T2 Pro,T2 Pro 5G,172.2,,No,No,Yes,No,AMOLED,,Yes,,,24999
266,boAt Wave Flex,Wave Flex Connect,46.482,Android & iOS,Yes,Yes,No,No,Other,260.0,Yes,,7.0,1499
269,"Pebble Dare 2.01""HD","Dare 2.01""HD Display,Rugged",51.053999999999995,Android & iOS,Yes,Yes,No,No,HD,268.0,Yes,1000.0,7.0,1599
270,MBS Gen 9,Gen 9 smart,49.0,Android & iOS,Yes,Yes,Yes,Yes,AMOLED,720.0,Yes,,2.0,2200
271,vivo Y36   ,Y36,168.70000000000002,,No,No,No,No,IPS LCD,,Yes,,,14999
273,boAt Wave Select,Wave Select with,41.91,Android & iOS,No,Yes,No,No,Other,260.0,Yes,,10.0,1299
274,Gamesir T800 Bluetooth,T800 Bluetooth Calling,49.0,Android & iOS,Yes,Yes,No,No,AMOLED,,Yes,0.5,3.0,800
275,boAt Lunar Prime,Lunar Prime w/,35.3,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,10.0,2499
276,AMAZFIT GTS 3,"GTS 3 1,75",44.45,Android & iOS,No,Yes,No,Yes,AMOLED,420.0,Yes,0.05,12.0,9999
277,Noise Loop 1.85'',Loop 1.85'' Display,46.99,Android & iOS,Yes,Yes,No,No,IPS TFt,262.0,Yes,1.5,7.0,1399
278,boAt Storm Call,Storm Call 2,46.4,Android & iOS,Yes,Yes,No,No,Other,262.0,Yes,,7.0,1599
280,Kechaoda K115  ,K115,36.6,,No,No,No,No,Other,,No,,,1090
281,Google Pixel 8,Pixel 8 Pro,170.2,,No,No,Yes,No,TFT LED,,Yes,,,113999
282,beatXP Evoke Neo,Evoke Neo 1.43'',36.32,Android & iOS,Yes,Yes,No,No,Other,466.0,Yes,,7.0,1999
